video,true_label,raw_prediction,mapped_prediction,result,skin_color_category
cartwheel_0_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_0_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_0_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_0_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_0_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_0_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_0_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_10_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_10_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_10_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_10_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_10_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_10_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_10_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_11_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_11_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_11_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_11_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_11_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_11_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_11_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_12_initial.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_12_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_12_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_12_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_12_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_12_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_12_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_13_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_13_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_13_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_13_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_13_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_13_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_13_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_14_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_14_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_14_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_14_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_14_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_14_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_14_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_15_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_15_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_15_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_15_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_15_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_15_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_15_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_16_initial.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_16_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_16_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect,hispanic
cartwheel_16_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_16_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_16_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_16_modified_white.mp4,cartwheel,yoga,yoga,incorrect,white
cartwheel_17_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_17_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_17_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_17_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_17_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_17_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_17_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_18_initial.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_18_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_18_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_18_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_18_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_18_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_18_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_19_initial.mp4,cartwheel,yoga,yoga,incorrect,white
cartwheel_19_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_19_modified_asian.mp4,cartwheel,yoga,yoga,incorrect,asian
cartwheel_19_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect,hispanic
cartwheel_19_modified_indian.mp4,cartwheel,yoga,yoga,incorrect,indian
cartwheel_19_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_19_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect,south_east_asian
cartwheel_1_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_1_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_1_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_1_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_1_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_1_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_1_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_20_initial.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_20_modified_african.mp4,cartwheel,yoga,yoga,incorrect,african
cartwheel_20_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_20_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_20_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_20_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_20_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_21_initial.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_21_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_21_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_21_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_21_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_21_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_21_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_22_initial.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_22_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_22_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_22_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_22_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_22_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_22_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_23_initial.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_23_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_23_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_23_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_23_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_23_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_23_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_24_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_24_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_24_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_24_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_24_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_24_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_24_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect,south_east_asian
cartwheel_2_initial.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_2_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_2_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_2_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_2_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_2_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_2_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_3_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_3_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_3_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_3_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_3_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_3_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_3_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_4_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_4_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_4_modified_asian.mp4,cartwheel,yoga,yoga,incorrect,asian
cartwheel_4_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_4_modified_indian.mp4,cartwheel,yoga,yoga,incorrect,indian
cartwheel_4_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_4_modified_south_east_asian.mp4,cartwheel,yoga,yoga,incorrect,south_east_asian
cartwheel_5_initial.mp4,cartwheel,yoga,yoga,incorrect,indian
cartwheel_5_modified_african.mp4,cartwheel,yoga,yoga,incorrect,african
cartwheel_5_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_5_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect,hispanic
cartwheel_5_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_5_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_5_modified_white.mp4,cartwheel,yoga,yoga,incorrect,white
cartwheel_6_initial.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_6_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_6_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_6_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_6_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_6_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_6_modified_white.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_7_initial.mp4,cartwheel,yoga,yoga,incorrect,south_east_asian
cartwheel_7_modified_african.mp4,cartwheel,yoga,yoga,incorrect,african
cartwheel_7_modified_asian.mp4,cartwheel,yoga,yoga,incorrect,asian
cartwheel_7_modified_hispanic.mp4,cartwheel,yoga,yoga,incorrect,hispanic
cartwheel_7_modified_indian.mp4,cartwheel,yoga,yoga,incorrect,indian
cartwheel_7_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_7_modified_white.mp4,cartwheel,yoga,yoga,incorrect,white
cartwheel_8_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_8_modified_african.mp4,cartwheel,cartwheel,cartwheel,correct,african
cartwheel_8_modified_asian.mp4,cartwheel,cartwheel,cartwheel,correct,asian
cartwheel_8_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_8_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_8_modified_middle_eastern.mp4,cartwheel,cartwheel,cartwheel,correct,middle_eastern
cartwheel_8_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
cartwheel_9_initial.mp4,cartwheel,cartwheel,cartwheel,correct,white
cartwheel_9_modified_african.mp4,cartwheel,yoga,yoga,incorrect,african
cartwheel_9_modified_asian.mp4,cartwheel,yoga,yoga,incorrect,asian
cartwheel_9_modified_hispanic.mp4,cartwheel,cartwheel,cartwheel,correct,hispanic
cartwheel_9_modified_indian.mp4,cartwheel,cartwheel,cartwheel,correct,indian
cartwheel_9_modified_middle_eastern.mp4,cartwheel,yoga,yoga,incorrect,middle_eastern
cartwheel_9_modified_south_east_asian.mp4,cartwheel,cartwheel,cartwheel,correct,south_east_asian
drink_0_initial.mp4,drink,yoga,yoga,incorrect,white
drink_0_modified_african.mp4,drink,cartwheel,cartwheel,incorrect,african
drink_0_modified_asian.mp4,drink,yoga,yoga,incorrect,asian
drink_0_modified_hispanic.mp4,drink,yoga,yoga,incorrect,hispanic
drink_0_modified_indian.mp4,drink,yoga,yoga,incorrect,indian
drink_0_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect,middle_eastern
drink_0_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect,south_east_asian
drink_10_initial.mp4,drink,cartwheel,cartwheel,incorrect,white
drink_10_modified_african.mp4,drink,other,other,incorrect,african
drink_10_modified_asian.mp4,drink,squat,squat,incorrect,asian
drink_10_modified_hispanic.mp4,drink,other,other,incorrect,hispanic
drink_10_modified_indian.mp4,drink,other,other,incorrect,indian
drink_10_modified_middle_eastern.mp4,drink,cartwheel,cartwheel,incorrect,middle_eastern
drink_10_modified_south_east_asian.mp4,drink,other,other,incorrect,south_east_asian
drink_11_initial.mp4,drink,yoga,yoga,incorrect,white
drink_11_modified_african.mp4,drink,cartwheel,cartwheel,incorrect,african
drink_11_modified_asian.mp4,drink,yoga,yoga,incorrect,asian
drink_11_modified_hispanic.mp4,drink,yoga,yoga,incorrect,hispanic
drink_11_modified_indian.mp4,drink,yoga,yoga,incorrect,indian
drink_11_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect,middle_eastern
drink_11_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect,south_east_asian
drink_12_initial.mp4,drink,cartwheel,cartwheel,incorrect,african
drink_12_modified_asian.mp4,drink,cartwheel,cartwheel,incorrect,asian
drink_12_modified_hispanic.mp4,drink,other,other,incorrect,hispanic
drink_12_modified_indian.mp4,drink,other,other,incorrect,indian
drink_12_modified_middle_eastern.mp4,drink,other,other,incorrect,middle_eastern
drink_12_modified_south_east_asian.mp4,drink,other,other,incorrect,south_east_asian
drink_12_modified_white.mp4,drink,cartwheel,cartwheel,incorrect,white
drink_13_initial.mp4,drink,other,other,incorrect,white
drink_13_modified_african.mp4,drink,other,other,incorrect,african
drink_13_modified_asian.mp4,drink,other,other,incorrect,asian
drink_13_modified_hispanic.mp4,drink,other,other,incorrect,hispanic
drink_13_modified_indian.mp4,drink,other,other,incorrect,indian
drink_13_modified_middle_eastern.mp4,drink,other,other,incorrect,middle_eastern
drink_13_modified_south_east_asian.mp4,drink,other,other,incorrect,south_east_asian
drink_14_initial.mp4,drink,cartwheel,cartwheel,incorrect,white
drink_14_modified_african.mp4,drink,cartwheel,cartwheel,incorrect,african
drink_14_modified_asian.mp4,drink,cartwheel,cartwheel,incorrect,asian
drink_14_modified_hispanic.mp4,drink,cartwheel,cartwheel,incorrect,hispanic
drink_14_modified_indian.mp4,drink,cartwheel,cartwheel,incorrect,indian
drink_14_modified_middle_eastern.mp4,drink,cartwheel,cartwheel,incorrect,middle_eastern
drink_14_modified_south_east_asian.mp4,drink,cartwheel,cartwheel,incorrect,south_east_asian
drink_15_initial.mp4,drink,drink,drink,correct,white
drink_15_modified_african.mp4,drink,yoga,yoga,incorrect,african
drink_15_modified_asian.mp4,drink,yoga,yoga,incorrect,asian
drink_15_modified_hispanic.mp4,drink,yoga,yoga,incorrect,hispanic
drink_15_modified_indian.mp4,drink,yoga,yoga,incorrect,indian
drink_15_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect,middle_eastern
drink_15_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect,south_east_asian
drink_16_initial.mp4,drink,cartwheel,cartwheel,incorrect,african
drink_16_modified_asian.mp4,drink,other,other,incorrect,asian
drink_16_modified_hispanic.mp4,drink,other,other,incorrect,hispanic
drink_16_modified_indian.mp4,drink,cartwheel,cartwheel,incorrect,indian
drink_16_modified_middle_eastern.mp4,drink,other,other,incorrect,middle_eastern
drink_16_modified_south_east_asian.mp4,drink,cartwheel,cartwheel,incorrect,south_east_asian
drink_16_modified_white.mp4,drink,squat,squat,incorrect,white
drink_17_initial.mp4,drink,yoga,yoga,incorrect,white
drink_17_modified_african.mp4,drink,lunge,lunge,incorrect,african
drink_17_modified_asian.mp4,drink,yoga,yoga,incorrect,asian
drink_17_modified_hispanic.mp4,drink,yoga,yoga,incorrect,hispanic
drink_17_modified_indian.mp4,drink,yoga,yoga,incorrect,indian
drink_17_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect,middle_eastern
drink_17_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect,south_east_asian
drink_18_initial.mp4,drink,squat,squat,incorrect,asian
drink_18_modified_african.mp4,drink,squat,squat,incorrect,african
drink_18_modified_hispanic.mp4,drink,lunge,lunge,incorrect,hispanic
drink_18_modified_indian.mp4,drink,lunge,lunge,incorrect,indian
drink_18_modified_middle_eastern.mp4,drink,lunge,lunge,incorrect,middle_eastern
drink_18_modified_south_east_asian.mp4,drink,lunge,lunge,incorrect,south_east_asian
drink_18_modified_white.mp4,drink,lunge,lunge,incorrect,white
drink_19_initial.mp4,drink,yoga,yoga,incorrect,white
drink_19_modified_african.mp4,drink,yoga,yoga,incorrect,african
drink_19_modified_asian.mp4,drink,yoga,yoga,incorrect,asian
drink_19_modified_hispanic.mp4,drink,yoga,yoga,incorrect,hispanic
drink_19_modified_indian.mp4,drink,yoga,yoga,incorrect,indian
drink_19_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect,middle_eastern
drink_19_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect,south_east_asian
drink_1_initial.mp4,drink,yoga,yoga,incorrect,white
drink_1_modified_african.mp4,drink,yoga,yoga,incorrect,african
drink_1_modified_asian.mp4,drink,yoga,yoga,incorrect,asian
drink_1_modified_hispanic.mp4,drink,yoga,yoga,incorrect,hispanic
drink_1_modified_indian.mp4,drink,yoga,yoga,incorrect,indian
drink_1_modified_middle_eastern.mp4,drink,yoga,yoga,incorrect,middle_eastern
drink_1_modified_south_east_asian.mp4,drink,yoga,yoga,incorrect,south_east_asian
drink_20_initial.mp4,drink,cartwheel,cartwheel,incorrect,indian
drink_20_modified_african.mp4,drink,squat,squat,incorrect,african
drink_20_modified_asian.mp4,drink,cartwheel,cartwheel,incorrect,asian
drink_20_modified_hispanic.mp4,drink,cartwheel,cartwheel,incorrect,hispanic
drink_20_modified_middle_eastern.mp4,drink,cartwheel,cartwheel,incorrect,middle_eastern
drink_20_modified_south_east_asian.mp4,drink,cartwheel,cartwheel,incorrect,south_east_asian
